col,mean,median,std,count,pct,q1,q3,iqr,lower,upper
population,1184431.408011748,131942.0,3003149.944548508,21045,8.197551446500704,16675.0,684709.0,668034.0,-985376.0,1686760.0
auto_traffic,204.25296735570632,139.8,206.38078332573986,17013,6.626987063878189,74.333333,262.666667,188.33333400000004,-208.16666800000007,545.1666680000001
stops,1.5383506736833086,0.0,2.375176007911335,16433,6.401062623917609,0.0,2.0,2.0,-3.0,5.0
ped_traffic,129.01373195769372,120.05,81.60197679853782,9749,3.7974782158201643,83.9,163.357143,79.457143,-35.2857145,282.5428575
avg_check,966.3075372270685,901.4193574,323.68624030983733,8573,3.339396937555264,739.8276693,1126.586033,386.7583637,159.69012375,1706.7235785500002
traffic,58813.53461512992,56632.0,13546.04151127044,8029,3.1274953938680987,49697.0,65801.0,16104.0,25541.0,89957.0
medical,1.6966808583570618,1.0,2.1648345261927116,6455,2.5143832068026626,0.0,3.0,3.0,-4.5,7.5
marketplaces,1.8757688247644349,1.0,2.0152917009956126,5355,2.0859058206705283,0.0,3.0,3.0,-4.5,7.5
schools,0.4212555945513258,0.0,0.7446908359794976,5198,2.0247504119225783,0.0,1.0,1.0,-1.5,2.5
households,3553.1298753909855,3072.0,2932.7499330374303,1801,0.7015343385672496,898.0,5516.0,4618.0,-6029.0,12443.0
shops,3.855131795748725,3.0,3.0555420774072664,1110,0.4323726350969722,1.0,6.0,5.0,-6.5,13.5
pyaterochki_near,0.9361412884704526,1.0,1.1643170148855855,877,0.34161333421625645,0.0,2.0,2.0,-3.0,5.0
